CID,MolecularFormula,IsomericSMILES,InChI,InChIKey,IUPACName,nm_unique
934,Ni+2,[Ni+2],InChI=1S/Ni/q+2,VEQPNABPJHWNSG-UHFFFAOYSA-N,nickel(2+),Ni
935,Ni,[Ni],InChI=1S/Ni,PXHVJJICTQNCMI-UHFFFAOYSA-N,nickel,Ni
9863,CSi,[C-]#[Si+],InChI=1S/CSi/c1-2,HBMJWWWQQXIZIP-UHFFFAOYSA-N,methanidylidynesilanylium,SiC
14769,Al2O3,O=[Al]O[Al]=O,InChI=1S/2Al.3O,TWNQGVIAIRXVLR-UHFFFAOYSA-N,oxo(oxoalumanyloxy)alumane,Al2O3
14771,As2O5,O=[As](=O)O[As](=O)=O,InChI=1S/As2O5/c3-1(4)7-2(5)6,COHDHYZHOPQOFD-UHFFFAOYSA-N,,As2O5
14775,BeO,[Be]=O,InChI=1S/Be.O,LTPBRCUWZOMYOC-UHFFFAOYSA-N,oxoberyllium,BeO
14776,Bi2O3,O=[Bi]O[Bi]=O,InChI=1S/2Bi.3O,WMWLMWRWZQELOS-UHFFFAOYSA-N,oxo(oxobismuthanyloxy)bismuthane,Bi2O3
14778,CaO,O=[Ca],InChI=1S/Ca.O,ODINCKMPIJJUCX-UHFFFAOYSA-N,oxocalcium,CaO
14782,CdO,O=[Cd],InChI=1S/Cd.O,CXKCTMHTOKXKQT-UHFFFAOYSA-N,oxocadmium,CdO
14783,CdS,S=[Cd],InChI=1S/Cd.S,CJOBVZJTOIVNNF-UHFFFAOYSA-N,sulfanylidenecadmium,CdS
14786,CoO,O=[Co],InChI=1S/Co.O,IVMYJDGYRUAWML-UHFFFAOYSA-N,oxocobalt,CoO
14792,MgO,O=[Mg],InChI=1S/Mg.O,CPLXHLVBOLITMK-UHFFFAOYSA-N,oxomagnesium,MgO
14793,O2Pb,O=[Pb]=O,InChI=1S/2O.Pb,YADSGOSSYOOKMP-UHFFFAOYSA-N,dioxolead,PbO2
14794,O3Sb2,[O-2].[O-2].[O-2].[Sb+3].[Sb+3],InChI=1S/3O.2Sb/q3*-2;2*+3,GHPGOEFPKIHBNM-UHFFFAOYSA-N,antimony(3+);oxygen(2-),Sb2O3
14796,GeO2,O=[Ge]=O,InChI=1S/GeO2/c2-1-3,YBMRDBCBODYGJE-UHFFFAOYSA-N,dioxogermane,GeO2
14801,MnO2,O=[Mn]=O,InChI=1S/Mn.2O,NUJOXMJBOLGQSY-UHFFFAOYSA-N,dioxomanganese,MnO2
14802,MoO3,O=[Mo](=O)=O,InChI=1S/Mo.3O,JKQOBWVOAYFWKG-UHFFFAOYSA-N,trioxomolybdenum,MoO3
14805,NiO,O=[Ni],InChI=1S/Ni.O,GNRSAWUEBMWBQH-UHFFFAOYSA-N,oxonickel,NiO
14806,OZn,O=[Zn],InChI=1S/O.Zn,XLOMVQKBTHCTTD-UHFFFAOYSA-N,oxozinc,ZnO
14811,O3W,O=[W](=O)=O,InChI=1S/3O.W,ZNOKGRXACCSDPY-UHFFFAOYSA-N,trioxotungsten,WO3
14813,O5Sb2,O=[Sb](=O)O[Sb](=O)=O,InChI=1S/5O.2Sb,LJCFOYOSGPHIOO-UHFFFAOYSA-N,(dioxo-lambda5-stibanyl)oxy-dioxo-lambda5-stibane,Sb2O5
14814,O5V2,O=[V](=O)O[V](=O)=O,InChI=1S/5O.2V,GNTDGMZSJNCJKK-UHFFFAOYSA-N,dioxovanadiooxy(dioxo)vanadium,V2O5
14824,Mn2O3,O=[Mn]O[Mn]=O,InChI=1S/2Mn.3O,GEYXPJBPASPPLI-UHFFFAOYSA-N,oxo(oxomanganiooxy)manganese,Mn2O3
14827,OPb,O=[Pb],InChI=1S/O.Pb,YEXPOXQUZXUXJW-UHFFFAOYSA-N,oxolead,PbO
14829,CuO,O=[Cu],InChI=1S/Cu.O,QPLDLSVMHZLSFG-UHFFFAOYSA-N,oxocopper,CuO
14833,CuO,O=[Cu],InChI=1S/Cu.O,QPLDLSVMHZLSFG-UHFFFAOYSA-N,oxocopper,CuO/ZnO
14915,Fe2O3,[O-2].[O-2].[O-2].[Fe+3].[Fe+3],InChI=1S/2Fe.3O/q2*+3;3*-2,LIKBJVNGSGBSGK-UHFFFAOYSA-N,iron(3+);oxygen(2-),Fe2O3
14940,CrO3,O=[Cr](=O)=O,InChI=1S/Cr.3O,WGLPBDUCMAPZCE-UHFFFAOYSA-N,trioxochromium,CrO3
14945,MnO,O=[Mn],InChI=1S/Mn.O,VASIZKWUTCETSD-UHFFFAOYSA-N,oxomanganese,MnO
23925,FeO,O=[Fe],InChI=1S/Fe.O,UQSXHKLRYXJYBZ-UHFFFAOYSA-N,oxoiron,FeO
23926,Fe,[Fe],InChI=1S/Fe,XEEYBQQBJWHFJM-UHFFFAOYSA-N,iron,Fe
23930,La,[La],InChI=1S/La,FZLIPJUXYLNCLC-UHFFFAOYSA-N,lanthanum,La
23934,Mn,[Mn],InChI=1S/Mn,PWHULOQIROXLJO-UHFFFAOYSA-N,manganese,Mn
23939,Nd,[Nd],InChI=1S/Nd,QEFYFXOXNSNQGX-UHFFFAOYSA-N,neodymium,Nd
23942,Pt,[Pt],InChI=1S/Pt,BASFCYQUMIYNBI-UHFFFAOYSA-N,platinum,Pt
23954,Pr,[Pr],InChI=1S/Pr,PUDIUYLPXJFUGB-UHFFFAOYSA-N,praseodymium,Pr
23963,Ag,[Ag],InChI=1S/Ag,BQCADISMDOOEFD-UHFFFAOYSA-N,silver,Ag
23974,Ti,[Ti],InChI=1S/Ti,RTAQQCXQSZGOHL-UHFFFAOYSA-N,titanium,Ti
23976,Ce,[Ce],InChI=1S/Ce,GWXLDORMOJMVQZ-UHFFFAOYSA-N,cerium,Ce
23978,Cr,[Cr],InChI=1S/Cr,VYZAMTAEIAYCRO-UHFFFAOYSA-N,chromium,Cr
23980,Cu,[Cu],InChI=1S/Cu,RYGMFSIKBFXOCR-UHFFFAOYSA-N,copper,Cu
23982,Er,[Er],InChI=1S/Er,UYAHIZSMUZPPFV-UHFFFAOYSA-N,erbium,Er
23985,Gd,[Gd],InChI=1S/Gd,UIWYJDYFSGRHKR-UHFFFAOYSA-N,gadolinium,Gd
23990,Au,[Au],InChI=1S/Au,PCHJSUWPFVWCPO-UHFFFAOYSA-N,gold,Au
23993,V,[V],InChI=1S/V,LEONUFNNVUYDNQ-UHFFFAOYSA-N,vanadium,V
23994,Y,[Y],InChI=1S/Y,VWQVUPCCIRVNHF-UHFFFAOYSA-N,yttrium,Y
24261,Zn,[Zn],InChI=1S/Zn,HCHKCACWOHOZIP-UHFFFAOYSA-N,zinc,Zn
24350,O2Si,O=[Si]=O,InChI=1S/O2Si/c1-3-2,VYPSYNLAJGMNEJ-UHFFFAOYSA-N,dioxosilane,SiO2
24411,CuI,[Cu]I,InChI=1S/Cu.HI/h;1H/q+1;/p-1,LSXDOTMGLUJQCM-UHFFFAOYSA-M,iodocopper,CuI
26042,OV,O=[V],InChI=1S/O.V,IBYSTTGVDIFUAY-UHFFFAOYSA-N,oxovanadium,VO
26815,O2Ti,O=[Ti]=O,InChI=1S/2O.Ti,GWEVSGVZZGPLCZ-UHFFFAOYSA-N,dioxotitanium,TiO2
26874,Fe,[55Fe],InChI=1S/Fe/i1-1,XEEYBQQBJWHFJM-BJUDXGSMSA-N,iron-55,Fe
27099,Ce,[144Ce],InChI=1S/Ce/i1+4,GWXLDORMOJMVQZ-RNFDNDRNSA-N,cerium-144,Ce
27284,Cu+2,[Cu+2],InChI=1S/Cu/q+2,JPVYNHNXODAKFH-UHFFFAOYSA-N,copper(2+),Cu
27652,Fe+2,[Fe+2],InChI=1S/Fe/q+2,CWYNVVGOOAEACU-UHFFFAOYSA-N,iron(2+),Fe
27668,O3Sb2,O=[Sb]O[Sb]=O,InChI=1S/3O.2Sb,ADCOVFLJGNWWNZ-UHFFFAOYSA-N,oxo(oxostibanyloxy)stibane,Sb2O3
27854,Cr+3,[Cr+3],InChI=1S/Cr/q+3,BFGKITSFLPAWGI-UHFFFAOYSA-N,chromium(3+),Cr
29011,Mn+2,[Mn+2],InChI=1S/Mn/q+2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,manganese(2+),Mn
29131,O2Sn,O=[Sn]=O,InChI=1S/2O.Sn,XOLBLPGZBRYERU-UHFFFAOYSA-N,dioxotin,SnO2
29320,Cr+6,[Cr+6],InChI=1S/Cr/q+6,JOPOVCBBYLSVDA-UHFFFAOYSA-N,chromium(6+),Cr
29936,MoO2,O=[Mo]=O,InChI=1S/Mo.2O,QXYJCZRRLLQGCR-UHFFFAOYSA-N,dioxomolybdenum,MoO2
30856,Fe+3,[Fe+3],InChI=1S/Fe/q+3,VTLYFUHAOXGGBS-UHFFFAOYSA-N,iron(3+),Fe
32051,HgO,O=[Hg],InChI=1S/Hg.O,UKWHYYKOEPRTIC-UHFFFAOYSA-N,oxomercury,HgO
34008,Zn+2,[Zn+2],InChI=1S/Zn/q+2,PTFCDOFLOPIGGS-UHFFFAOYSA-N,zinc(2+),Zn
61492,OV+2,O=[V+2],InChI=1S/O.V/q;+2,MHHDXUNFNAZUGB-UHFFFAOYSA-N,oxovanadium(2+),VO
61685,Co,[60Co],InChI=1S/Co/i1+1,GUTLYIVDDKVIGB-OUBTZVSYSA-N,cobalt-60,Co
62157,OTi,O=[Ti],InChI=1S/O.Ti,OGIDPMRJRNCKJF-UHFFFAOYSA-N,oxotitanium,TiO
62392,O5Ta2,[O-2].[O-2].[O-2].[O-2].[O-2].[Ta+5].[Ta+5],InChI=1S/5O.2Ta/q5*-2;2*+5,BPUBBGLMJRNUCC-UHFFFAOYSA-N,oxygen(2-);tantalum(5+),Ta2O5
62395,BaO,O=[Ba],InChI=1S/Ba.O,QVQLCTNNEUAWMS-UHFFFAOYSA-N,oxobarium,BaO
62762,O2Zr,O=[Zr]=O,InChI=1S/2O.Zr,MCMNRKCIXSYSNV-UHFFFAOYSA-N,dioxozirconium,ZrO2
66274,Cr+2,[Cr+2],InChI=1S/Cr/q+2,UZEDIBTVIIJELN-UHFFFAOYSA-N,chromium(2+),Cr
73963,Au,[198Au],InChI=1S/Au/i1+1,PCHJSUWPFVWCPO-OUBTZVSYSA-N,gold-198,Au
73971,CeO2,O=[Ce]=O,InChI=1S/Ce.2O,CETPSERCERDGAM-UHFFFAOYSA-N,dioxocerium,CeO2
73975,Na2O,[O-2].[Na+].[Na+],InChI=1S/2Na.O/q2*+1;-2,KKCBUQHMOMHUOY-UHFFFAOYSA-N,disodium;oxygen(2-),Na2O
82838,OSr,[O-2].[Sr+2],InChI=1S/O.Sr/q-2;+2,IATRAKWUXMZMIY-UHFFFAOYSA-N,strontium;oxygen(2-),SrO
82839,NbO,O=[Nb],InChI=1S/Nb.O,BFRGSJVXBIWTCF-UHFFFAOYSA-N,oxoniobium,NbO
82850,NbO2,O=[Nb]=O,InChI=1S/Nb.2O,HFLAMWCKUFHSAZ-UHFFFAOYSA-N,dioxoniobium,NbO2
84163,O2W,O=[W]=O,InChI=1S/2O.W,DZKDPOPGYFUOGI-UHFFFAOYSA-N,dioxotungsten,WO2
87129,OTi+2,O=[Ti+2],InChI=1S/O.Ti/q;+2,IXNPPKLOBLWSPQ-UHFFFAOYSA-N,oxotitanium(2+),TiO
90455,MoO2+2,O=[Mo+2]=O,InChI=1S/Mo.2O/q+2;;,GCMDLPXRCVHIMG-UHFFFAOYSA-N,dioxomolybdenum(2+),MoO2
91501,AlN,N#[Al],InChI=1S/Al.N,PIGFYZPCRLYGLF-UHFFFAOYSA-N,azanylidynealumane,AlN
91574,CdTe,[Cd]=[Te],InChI=1S/Cd.Te,RPPBZEBXAAZZJH-UHFFFAOYSA-N,tellanylidenecadmium,CdTe
92152,Zn,[65Zn],InChI=1S/Zn/i1+0,HCHKCACWOHOZIP-IGMARMGPSA-N,zinc-65,Zn
104727,AgO,O=[Ag],InChI=1S/Ag.O,OTCVAHKKMMUFAY-UHFFFAOYSA-N,oxosilver,AgO
104729,Al+3,[Al+3],InChI=1S/Al/q+3,REDXJYDRNCIFBQ-UHFFFAOYSA-N,aluminum(3+),Al
104730,Co+2,[Co+2],InChI=1S/Co/q+2,XLJKHNWPARRRJB-UHFFFAOYSA-N,cobalt(2+),Co
104743,Co,[Co],InChI=1S/Co,GUTLYIVDDKVIGB-UHFFFAOYSA-N,cobalt,Co
104755,Mn,[54Mn],InChI=1S/Mn/i1-1,PWHULOQIROXLJO-BJUDXGSMSA-N,manganese-54,Mn
104760,Ag+,[Ag+],InChI=1S/Ag/q+1,FOIXSVOLVBLSDH-UHFFFAOYSA-N,silver(1+),Ag
104784,Y,[90Y],InChI=1S/Y/i1+1,VWQVUPCCIRVNHF-OUBTZVSYSA-N,yttrium-90,Y
104786,Fe,[59Fe],InChI=1S/Fe/i1+3,XEEYBQQBJWHFJM-AKLPVKDBSA-N,iron-59,Fe
104798,Cr,[51Cr],InChI=1S/Cr/i1-1,VYZAMTAEIAYCRO-BJUDXGSMSA-N,chromium-51,Cr
104814,Sr+2,[Sr+2],InChI=1S/Sr/q+2,PWYYWQHXAPXYMF-UHFFFAOYSA-N,strontium(2+),Sr
104815,Ce,[141Ce],InChI=1S/Ce/i1+1,GWXLDORMOJMVQZ-OUBTZVSYSA-N,cerium-141,Ce
104828,Cu+,[Cu+],InChI=1S/Cu/q+1,VMQMZMRVKUZKQL-UHFFFAOYSA-N,copper(1+),Cu
104844,Ag,[110Ag],InChI=1S/Ag/i1+2,BQCADISMDOOEFD-NJFSPNSNSA-N,silver-110,Ag
104851,Co,[58Co],InChI=1S/Co/i1-1,GUTLYIVDDKVIGB-BJUDXGSMSA-N,cobalt-58,Co
104882,Co,[57Co],InChI=1S/Co/i1-2,GUTLYIVDDKVIGB-YPZZEJLDSA-N,cobalt-57,Co
104883,La,[140La],InChI=1S/La/i1+1,FZLIPJUXYLNCLC-OUBTZVSYSA-N,lanthanum-140,La
104897,Sn+2,[Sn+2],InChI=1S/Sn/q+2,IUTCEZPPWBHGIX-UHFFFAOYSA-N,tin(2+),Sn
104905,La+3,[La+3],InChI=1S/La/q+3,CZMAIROVPAYCMU-UHFFFAOYSA-N,lanthanum(3+),La
104921,Ni,[63Ni],InChI=1S/Ni/i1+4,PXHVJJICTQNCMI-RNFDNDRNSA-N,nickel-63,Ni
104964,Cr+5,[Cr+5],InChI=1S/Cr/q+5,RKCWRYBOSIJRNH-UHFFFAOYSA-N,chromium(5+),Cr
105093,Y,[91Y],InChI=1S/Y/i1+2,VWQVUPCCIRVNHF-NJFSPNSNSA-N,yttrium-91,Y
105130,Au+3,[Au+3],InChI=1S/Au/q+3,CBMIPXHVOVTTTL-UHFFFAOYSA-N,gold(3+),Au
105141,Mn+3,[Mn+3],InChI=1S/Mn/q+3,MMIPFLVOWGHZQD-UHFFFAOYSA-N,manganese(3+),Mn
105145,Cu,[64Cu],InChI=1S/Cu/i1+0,RYGMFSIKBFXOCR-IGMARMGPSA-N,copper-64,Cu
105146,Ga+3,[Ga+3],InChI=1S/Ga/q+3,CKHJYUSOUQDYEN-UHFFFAOYSA-N,gallium(3+),Ga
105157,Co+3,[Co+3],InChI=1S/Co/q+3,JAWGVVJVYSANRY-UHFFFAOYSA-N,cobalt(3+),Co
105160,Pr,[144Pr],InChI=1S/Pr/i1+3,PUDIUYLPXJFUGB-AKLPVKDBSA-N,praseodymium-144,Pr
105166,Pt+4,[Pt+4],InChI=1S/Pt/q+4,NDBYXKQCPYUOMI-UHFFFAOYSA-N,platinum(4+),Pt
105173,Pt+2,[Pt+2],InChI=1S/Pt/q+2,HRGDZIGMBDGFTC-UHFFFAOYSA-N,platinum(2+),Pt
107675,Y,[88Y],InChI=1S/Y/i1-1,VWQVUPCCIRVNHF-BJUDXGSMSA-N,yttrium-88,Y
114694,V+4,[V+4],InChI=1S/V/q+4,PSDQQCXQSWHCRN-UHFFFAOYSA-N,vanadium(4+),V
114848,Mn,[56Mn],InChI=1S/Mn/i1+1,PWHULOQIROXLJO-OUBTZVSYSA-N,manganese-56,Mn
114853,Nd,[147Nd],InChI=1S/Nd/i1+3,QEFYFXOXNSNQGX-AKLPVKDBSA-N,neodymium-147,Nd
114942,Ce+3,[Ce+3],InChI=1S/Ce/q+3,XQTIWNLDFPPCIU-UHFFFAOYSA-N,cerium(3+),Ce
114945,Ti+4,[Ti+4],InChI=1S/Ti/q+4,LCKIEQZJEYYRIY-UHFFFAOYSA-N,titanium(4+),Ti
115032,Au+,[Au+],InChI=1S/Au/q+1,ZBKIUFWVEIBQRT-UHFFFAOYSA-N,gold(1+),Au
115131,Ni,[59Ni],InChI=1S/Ni/i1+0,PXHVJJICTQNCMI-IGMARMGPSA-N,nickel-59,Ni
115291,Mn,[52Mn],InChI=1S/Mn/i1-3,PWHULOQIROXLJO-OIOBTWANSA-N,manganese-52,Mn
119438,Ni+3,[Ni+3],InChI=1S/Ni/q+3,JDRCAGKFDGHRNQ-UHFFFAOYSA-N,nickel(3+),Ni
119471,Ce+4,[Ce+4],InChI=1S/Ce/q+4,ITZXULOAYIAYNU-UHFFFAOYSA-N,cerium(4+),Ce
123111,Cr+6,[51Cr+6],InChI=1S/Cr/q+6/i1-1,JOPOVCBBYLSVDA-BJUDXGSMSA-N,chromium-51(6+),Cr
134661,O3Ti2,O=[Ti]O[Ti]=O,InChI=1S/3O.2Ti,GQUJEMVIKWQAEH-UHFFFAOYSA-N,oxo(oxotitaniooxy)titanium,Ti2O3
139258,O3Sc2,[O-2].[O-2].[O-2].[Sc+3].[Sc+3],InChI=1S/3O.2Sc/q3*-2;2*+3,HJGMWXTVGKLUAQ-UHFFFAOYSA-N,oxygen(2-);scandium(3+),Sc2O3
139271,O3W-2,[O-][W](=O)[O-],InChI=1S/3O.W/q;2*-1;,ZXOKVTWPEIAYAB-UHFFFAOYSA-N,dioxido(oxo)tungsten,WO3
150905,MoO3-2,[O-][Mo](=O)[O-],InChI=1S/Mo.3O/q;;2*-1,IEZOWMCAYRFYBI-UHFFFAOYSA-N,dioxido(oxo)molybdenum,MoO3
150906,In2O3,[O-2].[O-2].[O-2].[In+3].[In+3],InChI=1S/2In.3O/q2*+3;3*-2,PJXISJQVUVHSOJ-UHFFFAOYSA-N,indium(3+);oxygen(2-),In2O3
157925,La2O3,[O-2].[O-2].[O-2].[La+3].[La+3],InChI=1S/2La.3O/q2*+3;3*-2,MRELNEQAGSRDBK-UHFFFAOYSA-N,lanthanum(3+);oxygen(2-),La2O3
158605,Sr+2,[85Sr+2],InChI=1S/Sr/q+2/i1-3,PWYYWQHXAPXYMF-OIOBTWANSA-N,strontium-85(2+),Sr
159370,Ga2O3,[O-2].[O-2].[O-2].[Ga+3].[Ga+3],InChI=1S/2Ga.3O/q2*+3;3*-2,AJNVQOSZGJRYEI-UHFFFAOYSA-N,digallium;oxygen(2-),Ga2O3
159371,Dy2O3,[O-2].[O-2].[O-2].[Dy+3].[Dy+3],InChI=1S/2Dy.3O/q2*+3;3*-2,GEZAXHSNIQTPMM-UHFFFAOYSA-N,dysprosium(3+);oxygen(2-),Dy2O3
159373,Eu2O3,[O-2].[O-2].[O-2].[Eu+3].[Eu+3],InChI=1S/2Eu.3O/q2*+3;3*-2,AEBZCFFCDTZXHP-UHFFFAOYSA-N,europium(3+);oxygen(2-),Eu2O3
159374,Nd2O3,[O-2].[O-2].[O-2].[Nd+3].[Nd+3],InChI=1S/2Nd.3O/q2*+3;3*-2,PLDDOISOJJCEMH-UHFFFAOYSA-N,neodymium(3+);oxygen(2-),Nd2O3
159375,O3Y2,[O-2].[O-2].[O-2].[Y+3].[Y+3],InChI=1S/3O.2Y/q3*-2;2*+3,RUDFQVOCFDJEEF-UHFFFAOYSA-N,oxygen(2-);yttrium(3+),Y2O3
159385,O3Yb2,[O-2].[O-2].[O-2].[Yb+3].[Yb+3],InChI=1S/3O.2Yb/q3*-2;2*+3,UZLYXNNZYFBAQO-UHFFFAOYSA-N,oxygen(2-);ytterbium(3+),Yb2O3
159406,OPb,[O-2].[Pb+2],InChI=1S/O.Pb/q-2;+2,HTUMBQDCCIXGCV-UHFFFAOYSA-N,lead(2+);oxygen(2-),PbO
159410,Lu2O3,[O-2].[O-2].[O-2].[Lu+3].[Lu+3],InChI=1S/2Lu.3O/q2*+3;3*-2,UGBIHFMRUDAMBY-UHFFFAOYSA-N,lutetium(3+);oxygen(2-),Lu2O3
159422,O3Tb2,[O-2].[O-2].[O-2].[Tb+3].[Tb+3],InChI=1S/3O.2Tb/q3*-2;2*+3,SCRZPWWVSXWCMC-UHFFFAOYSA-N,oxygen(2-);terbium(3+),Tb2O3
159423,HfO2,[O-2].[O-2].[Hf+4],InChI=1S/Hf.2O/q+4;2*-2,WIHZLLGSGQNAGK-UHFFFAOYSA-N,hafnium(4+);oxygen(2-),HfO2
159425,Ho2O3,[O-2].[O-2].[O-2].[Ho+3].[Ho+3],InChI=1S/2Ho.3O/q2*+3;3*-2,OWCYYNSBGXMRQN-UHFFFAOYSA-N,holmium(3+);oxygen(2-),Ho2O3
159426,O3Sm2,[O-2].[O-2].[O-2].[Sm+3].[Sm+3],InChI=1S/3O.2Sm/q3*-2;2*+3,FKTOIHSPIPYAPE-UHFFFAOYSA-N,oxygen(2-);samarium(3+),Sm2O3
159427,Er2O3,[O-2].[O-2].[O-2].[Er+3].[Er+3],InChI=1S/2Er.3O/q2*+3;3*-2,ZXGIFJXRQHZCGJ-UHFFFAOYSA-N,erbium(3+);oxygen(2-),Er2O3
160959,Gd2O3,[O-2].[O-2].[O-2].[Gd+3].[Gd+3],InChI=1S/2Gd.3O/q2*+3;3*-2,CMIHHWBVHJVIGI-UHFFFAOYSA-N,gadolinium(3+);oxygen(2-),Gd2O3
160977,MnO,[O-2].[Mn+2],InChI=1S/Mn.O/q+2;-2,PPNAOCWZXJOHFK-UHFFFAOYSA-N,manganese(2+);oxygen(2-),MnO
161025,Bi2O3,[O-2].[O-2].[O-2].[Bi+3].[Bi+3],InChI=1S/2Bi.3O/q2*+3;3*-2,TYIXMATWDRGMPF-UHFFFAOYSA-N,dibismuth;oxygen(2-),Bi2O3
161049,Ce,[143Ce],InChI=1S/Ce/i1+3,GWXLDORMOJMVQZ-AKLPVKDBSA-N,cerium-143,Ce
161054,Gd,[153Gd],InChI=1S/Gd/i1-4,UIWYJDYFSGRHKR-AHCXROLUSA-N,gadolinium-153,Gd
161103,V,[48V],InChI=1S/V/i1-3,LEONUFNNVUYDNQ-OIOBTWANSA-N,vanadium-48,V
161142,Pr,[143Pr],InChI=1S/Pr/i1+2,PUDIUYLPXJFUGB-NJFSPNSNSA-N,praseodymium-143,Pr
161148,Pt,[191Pt],InChI=1S/Pt/i1-4,BASFCYQUMIYNBI-AHCXROLUSA-N,platinum-191,Pt
161153,Ag,[111Ag],InChI=1S/Ag/i1+3,BQCADISMDOOEFD-AKLPVKDBSA-N,silver-111,Ag
162372,Er,[169Er],InChI=1S/Er/i1+2,UYAHIZSMUZPPFV-NJFSPNSNSA-N,erbium-169,Er
162651,O3W-6,[O-2].[O-2].[O-2].[W],InChI=1S/3O.W/q3*-2;,UVXUOGLNBHCDPN-UHFFFAOYSA-N,oxygen(2-);tungsten,WO3
164827,O2Ti,[O-2].[O-2].[Ti+4],InChI=1S/2O.Ti/q2*-2;+4,SOQBVABWOPYFQZ-UHFFFAOYSA-N,oxygen(2-);titanium(4+),TiO2
165971,CuO,[O-2].[Cu+2],InChI=1S/Cu.O/q+2;-2,KKCXRELNMOYFLS-UHFFFAOYSA-N,copper;oxygen(2-),CuO
166630,CuO,[O-2].[Cu+2],InChI=1S/Cu.O/q+2;-2,KKCXRELNMOYFLS-UHFFFAOYSA-N,copper;oxygen(2-),CuO/ZnO
166955,Cr2O3,[O-2].[O-2].[O-2].[Cr+3].[Cr+3],InChI=1S/2Cr.3O/q2*+3;3*-2,UOUJSJZBMCDAEU-UHFFFAOYSA-N,chromium(3+);oxygen(2-),Cr2O3
166962,Li2O,[Li+].[Li+].[O-2],InChI=1S/2Li.O/q2*+1;-2,FUJCRWPEOMXPAD-UHFFFAOYSA-N,dilithium;oxygen(2-),Li2O
166964,Ce,[137Ce],InChI=1S/Ce/i1-3,GWXLDORMOJMVQZ-OIOBTWANSA-N,cerium-137,Ce
166966,Ni,[57Ni],InChI=1S/Ni/i1-2,PXHVJJICTQNCMI-YPZZEJLDSA-N,nickel-57,Ni
166967,Cu,[60Cu],InChI=1S/Cu/i1-4,RYGMFSIKBFXOCR-AHCXROLUSA-N,copper-60,Cu
166968,Au,[193Au],InChI=1S/Au/i1-4,PCHJSUWPFVWCPO-AHCXROLUSA-N,gold-193,Au
166969,Zn,[69Zn],InChI=1S/Zn/i1+4,HCHKCACWOHOZIP-RNFDNDRNSA-N,zinc-69,Zn
166988,Co,[55Co],InChI=1S/Co/i1-4,GUTLYIVDDKVIGB-AHCXROLUSA-N,cobalt-55,Co
166998,Ce,[139Ce],InChI=1S/Ce/i1-1,GWXLDORMOJMVQZ-BJUDXGSMSA-N,cerium-139,Ce
167024,Gd,[159Gd],InChI=1S/Gd/i1+2,UIWYJDYFSGRHKR-NJFSPNSNSA-N,gadolinium-159,Gd
167028,Co,[56Co],InChI=1S/Co/i1-3,GUTLYIVDDKVIGB-OIOBTWANSA-N,cobalt-56,Co
167085,Pr,[142Pr],InChI=1S/Pr/i1+1,PUDIUYLPXJFUGB-OUBTZVSYSA-N,praseodymium-142,Pr
167088,Pt,[195Pt],InChI=1S/Pt/i1+0,BASFCYQUMIYNBI-IGMARMGPSA-N,platinum-195,Pt
167092,Au,[199Au],InChI=1S/Au/i1+2,PCHJSUWPFVWCPO-NJFSPNSNSA-N,gold-199,Au
167161,Ag,[108Ag],InChI=1S/Ag/i1+0,BQCADISMDOOEFD-IGMARMGPSA-N,silver-108,Ag
167197,Ti,[45Ti],InChI=1S/Ti/i1-3,RTAQQCXQSZGOHL-OIOBTWANSA-N,titanium-45,Ti
167204,Fe,[57Fe],InChI=1S/Fe/i1+1,XEEYBQQBJWHFJM-OUBTZVSYSA-N,iron-57,Fe
167219,Zn,[71Zn],InChI=1S/Zn/i1+6,HCHKCACWOHOZIP-LZFNBGRKSA-N,zinc-71,Zn
167227,Ag,[105Ag],InChI=1S/Ag/i1-3,BQCADISMDOOEFD-OIOBTWANSA-N,silver-105,Ag
167231,Y,[93Y],InChI=1S/Y/i1+4,VWQVUPCCIRVNHF-RNFDNDRNSA-N,yttrium-93,Y
167343,Mn,[53Mn],InChI=1S/Mn/i1-2,PWHULOQIROXLJO-YPZZEJLDSA-N,manganese-53,Mn
167351,Ce,[134Ce],InChI=1S/Ce/i1-6,GWXLDORMOJMVQZ-VENIDDJXSA-N,cerium-134,Ce
167356,Pt,[199Pt],InChI=1S/Pt/i1+4,BASFCYQUMIYNBI-RNFDNDRNSA-N,platinum-199,Pt
167358,Pt,[193Pt],InChI=1S/Pt/i1-2,BASFCYQUMIYNBI-YPZZEJLDSA-N,platinum-193,Pt
167364,Zn,[72Zn],InChI=1S/Zn/i1+7,HCHKCACWOHOZIP-RKEGKUSMSA-N,zinc-72,Zn
167390,Ti,[44Ti],InChI=1S/Ti/i1-4,RTAQQCXQSZGOHL-AHCXROLUSA-N,titanium-44,Ti
167395,Y,[92Y],InChI=1S/Y/i1+3,VWQVUPCCIRVNHF-AKLPVKDBSA-N,yttrium-92,Y
167397,Au,[194Au],InChI=1S/Au/i1-3,PCHJSUWPFVWCPO-OIOBTWANSA-N,gold-194,Au
167399,Cu,[67Cu],InChI=1S/Cu/i1+3,RYGMFSIKBFXOCR-AKLPVKDBSA-N,copper-67,Cu
167414,Ce,[135Ce],InChI=1S/Ce/i1-5,GWXLDORMOJMVQZ-FTXFMUIASA-N,cerium-135,Ce
